key                                                                      |  difference
————————————————————————————————————————————————————————————————————————————————
['stats', 'minecraft:custom', 'minecraft:interact_with_crafting_table']  | 2
['stats', 'minecraft:custom', 'minecraft:jump']                          | 637
['stats', 'minecraft:custom', 'minecraft:inspect_dispenser']             | 5
['stats', 'minecraft:custom', 'minecraft:inspect_dropper']               | 1
['stats', 'minecraft:custom', 'minecraft:interact_with_anvil']           | 13
['stats', 'minecraft:custom', 'minecraft:inspect_hopper']                | 1
['stats', 'minecraft:custom', 'minecraft:tune_noteblock']                | 2
['stats', 'minecraft:custom', 'minecraft:time_since_rest']               | -1092688
['stats', 'minecraft:custom', 'minecraft:open_chest']                    | 99
['stats', 'minecraft:custom', 'minecraft:open_shulker_box']              | 43
['stats', 'minecraft:custom', 'minecraft:damage_resisted']               | 8
['stats', 'minecraft:custom', 'minecraft:talked_to_villager']            | 3
['stats', 'minecraft:custom', 'minecraft:damage_taken']                  | 31
['stats', 'minecraft:custom', 'minecraft:aviate_one_cm']                 | 768217
['stats', 'minecraft:custom', 'minecraft:leave_game']                    | 2
['stats', 'minecraft:custom', 'minecraft:time_since_death']              | -1100772
['stats', 'minecraft:custom', 'minecraft:sleep_in_bed']                  | 2
['stats', 'minecraft:custom', 'minecraft:sneak_time']                    | 1162
['stats', 'minecraft:custom', 'minecraft:fly_one_cm']                    | 124223
['stats', 'minecraft:custom', 'minecraft:fall_one_cm']                   | 21226
['stats', 'minecraft:custom', 'minecraft:sprint_one_cm']                 | 129149
['stats', 'minecraft:custom', 'minecraft:drop']                          | 42
['stats', 'minecraft:custom', 'minecraft:walk_on_water_one_cm']          | 961
['stats', 'minecraft:custom', 'minecraft:play_one_minute']               | 72044
['stats', 'minecraft:custom', 'minecraft:open_enderchest']               | 3
['stats', 'minecraft:custom', 'minecraft:crouch_one_cm']                 | 5472
['stats', 'minecraft:custom', 'minecraft:walk_one_cm']                   | 258224
['stats', 'minecraft:used', 'minecraft:stone']                           | 91
['stats', 'minecraft:used', 'minecraft:cooked_cod']                      | 7
['stats', 'minecraft:used', 'minecraft:nether_wart']                     | 68
['stats', 'minecraft:used', 'minecraft:ender_chest']                     | 1
['stats', 'minecraft:used', 'minecraft:dirt']                            | 4
['stats', 'minecraft:used', 'minecraft:netherite_pickaxe']               | 1271
['stats', 'minecraft:used', 'minecraft:pink_shulker_box']                | 1
['stats', 'minecraft:used', 'minecraft:chest']                           | 2
['stats', 'minecraft:used', 'minecraft:blue_stained_glass']              | 1
['stats', 'minecraft:used', 'minecraft:diamond_hoe']                     | 33
['stats', 'minecraft:used', 'minecraft:shulker_box']                     | 2
['stats', 'minecraft:mined', 'minecraft:granite']                        | 65
['stats', 'minecraft:mined', 'minecraft:nether_wart']                    | 68
['stats', 'minecraft:mined', 'minecraft:grass']                          | 2
['stats', 'minecraft:mined', 'minecraft:andesite']                       | 31
['stats', 'minecraft:mined', 'minecraft:rail']                           | 1
['stats', 'minecraft:mined', 'minecraft:diorite']                        | 37
['stats', 'minecraft:mined', 'minecraft:wall_torch']                     | 1
['stats', 'minecraft:mined', 'minecraft:dirt']                           | 1
['stats', 'minecraft:mined', 'minecraft:grass_path']                     | 4
['stats', 'minecraft:mined', 'minecraft:blue_stained_glass']             | 1
['stats', 'minecraft:mined', 'minecraft:pink_shulker_box']               | 1
['stats', 'minecraft:mined', 'minecraft:shulker_box']                    | 21
['stats', 'minecraft:mined', 'minecraft:iron_ore']                       | 23
['stats', 'minecraft:mined', 'minecraft:cobblestone']                    | 3
